n;k;m
1003;100;178
1004;100;180
1005;100;178
1006;100;172
1007;100;173
1008;100;180
1009;100;182
1010;100;169
1011;100;182
1012;100;174
1013;100;175
1014;100;181
1015;100;177
1016;100;181
1017;100;175
1018;100;175
1019;100;170
1020;100;175
1021;100;179
1022;100;176
1023;100;174
1024;100;181
1025;100;182
1026;100;182
1027;100;172
1028;100;182
1029;100;183
1030;100;175
1031;100;181
1032;100;178
1033;100;181
1034;100;182
1035;100;175
1036;100;179
1037;100;177
1038;100;175
1039;100;179
1040;100;176
1041;100;179
1042;100;178
1043;100;178
1044;100;186
1045;100;178
1046;100;176
1047;100;174
1048;100;174
1049;100;185
1050;100;171
1051;100;178
1052;100;179
1053;100;178
1054;100;173
1055;100;180
1056;100;175
1057;100;179
1058;100;177
1059;100;179
1060;100;179
1061;100;192
1062;100;176
1063;100;184
1064;100;183
1065;100;176
1066;100;176
1067;100;183
1068;100;178
1069;100;188
1070;100;183
1071;100;175
1072;100;178
1073;100;181
1074;100;177
1075;100;174
1076;100;174
1077;100;182
1078;100;173
1079;100;179
1080;100;179
1081;100;171
1082;100;180
1083;100;178
1084;100;178
1085;100;186
1086;100;177
1087;100;176
1088;100;186
1089;100;184
1090;100;180
1091;100;176
1092;100;178
1093;100;177
1094;100;183
1095;100;176
1096;100;184
1097;100;181
1098;100;183
1099;100;177
1100;100;183
1101;100;180
1102;100;186
1103;100;179
1104;100;178
1105;100;179
1106;100;183
1107;100;179
1108;100;179
1109;100;179
1110;100;182
1111;100;188
1112;100;180
1113;100;184
1114;100;183
1115;100;189
1116;100;181
1117;100;179
1118;100;186
1119;100;186
1120;100;180
1121;100;185
1122;100;183
1123;100;177
1124;100;178
1125;100;185
1126;100;177
1127;100;182
1128;100;185
1129;100;176
1130;100;175
1131;100;185
1132;100;178
1133;100;181
1134;100;179
1135;100;180
1136;100;179
1137;100;177
1138;100;180
1139;100;179
1140;100;187
1141;100;187
1142;100;180
1143;100;187
1144;100;181
1145;100;181
1146;100;189
1147;100;181
1148;100;182
1149;100;178
1150;100;177
1151;100;178
1152;100;176
1153;100;181
1154;100;190
1155;100;185
1156;100;178
1157;100;185
1158;100;183
1159;100;186
1160;100;183
1161;100;178
1162;100;190
1163;100;173
1164;100;179
1165;100;179
1166;100;180
1167;100;182
1168;100;181
1169;100;187
1170;100;180
1171;100;182
1172;100;181
1173;100;178
1174;100;183
1175;100;180
1176;100;182
1177;100;175
1178;100;180
1179;100;184
1180;100;194
1181;100;188
1182;100;185
1183;100;177
1184;100;187
1185;100;182
1186;100;180
1187;100;193
1188;100;182
1189;100;187
1190;100;178
1191;100;182
1192;100;189
1193;100;187
