n;k;m
1435;100;255
1436;100;255
1437;100;255
1438;100;255
1439;100;255
1440;100;255
1441;100;253
1442;100;255
1443;100;255
1444;100;255
1445;100;255
1446;100;255
1447;100;255
1448;100;255
1449;100;255
1450;100;253
1451;100;253
1452;100;255
1453;100;255
1454;100;255
1455;100;253
1456;100;250
1457;100;255
1458;100;255
1459;100;255
1460;100;250
1461;100;253
1462;100;255
1463;100;255
1464;100;253
1465;100;253
1466;100;255
1467;100;255
1468;100;253
1469;100;255
1470;100;255
1471;100;255
1472;100;255
1473;100;255
1474;100;255
1475;100;253
1476;100;255
1477;100;255
1478;100;253
1479;100;253
1480;100;255
1481;100;255
1482;100;255
1483;100;253
1484;100;255
1485;100;255
1486;100;255
1487;100;255
1488;100;255
1489;100;255
1490;100;253
1491;100;253
1492;100;255
1493;100;253
1494;100;255
1495;100;253
1496;100;255
1497;100;255
1498;100;250
1499;100;255
1500;100;255
1501;100;250
1502;100;255
1503;100;255
1504;100;255
1505;100;253
1506;100;255
1507;100;255
1508;100;255
1509;100;255
1510;100;255
1511;100;255
1512;100;255
1513;100;255
1514;100;255
1515;100;255
1516;100;253
1517;100;253
1518;100;255
1519;100;253
1520;100;255
1521;100;255
1522;100;255
1523;100;255
1524;100;255
1525;100;253
1526;100;250
1527;100;253
1528;100;255
1529;100;253
1530;100;253
1531;100;255
1532;100;253
1533;100;255
1534;100;255
1535;100;255
1536;100;255
1537;100;255
1538;100;253
1539;100;255
1540;100;255
1541;100;255
1542;100;255
1543;100;255
1544;100;255
1545;100;255
1546;100;255
1547;100;255
1548;100;255
1549;100;253
1550;100;253
1551;100;255
1552;100;255
1553;100;253
1554;100;255
1555;100;253
1556;100;255
1557;100;253
1558;100;255
1559;100;255
1560;100;255
1561;100;255
1562;100;255
1563;100;255
1564;100;255
1565;100;255
1566;100;255
1567;100;255
1568;100;255
1569;100;255
1570;100;255
1571;100;255
1572;100;253
1573;100;255
1574;100;255
1575;100;255
1576;100;255
1577;100;255
1578;100;255
1579;100;255
1580;100;255
1581;100;255
1582;100;255
1583;100;255
1584;100;255
1585;100;250
1586;100;255
1587;100;255
1588;100;255
1589;100;253
1590;100;255
1591;100;255
1592;100;255
1593;100;255
1594;100;255
1595;100;255
1596;100;253
1597;100;255
1598;100;255
1599;100;255
1600;100;255
1601;100;255
1602;100;255
1603;100;255
1604;100;255
1605;100;255
1606;100;255
1607;100;253
1608;100;253
1609;100;255
1610;100;255
1611;100;253
1612;100;255
1613;100;255
1614;100;250
1615;100;255
1616;100;255
1617;100;255
1618;100;255
1619;100;255
1620;100;255
1621;100;255
1622;100;255
1623;100;255
1624;100;255
1625;100;253
1626;100;255
1627;100;255
1628;100;255
1629;100;255
1630;100;255
1631;100;255
1632;100;255
1633;100;255
1634;100;253
1635;100;255
1636;100;255
1637;100;255
1638;100;255
1639;100;255
1640;100;255
1641;100;255
1642;100;255
1643;100;255
1644;100;255
1645;100;255
1646;100;255
1647;100;255
1648;100;255
1649;100;255
1650;100;255
1651;100;255
1652;100;255
1653;100;255
1654;100;255
1655;100;253
1656;100;255
1657;100;255
1658;100;255
1659;100;255
1660;100;255
1661;100;255
1662;100;253
1663;100;255
1664;100;255
1665;100;255
1666;100;255
1667;100;255
1668;100;255
1669;100;253
1670;100;255
1671;100;255
1672;100;255
1673;100;255
1674;100;255
1675;100;255
1676;100;253
1677;100;250
1678;100;255
1679;100;255
1680;100;253
1681;100;255
1682;100;255
1683;100;255
1684;100;255
1685;100;255
1686;100;255
1687;100;255
1688;100;255
1689;100;255
1690;100;255
1691;100;255
1692;100;255
1693;100;255
1694;100;255
1695;100;253
1696;100;255
1697;100;255
1698;100;255
1699;100;255
1700;100;255
1701;100;255
1702;100;255
1703;100;255
1704;100;255
1705;100;255
1706;100;255
1707;100;255
1708;100;255
1709;100;255
1710;100;255
1711;100;253
1712;100;255
1713;100;255
1714;100;255
1715;100;255
1716;100;255
1717;100;255
1718;100;253
1719;100;255
1720;100;255
1721;100;255
1722;100;255
1723;100;255
1724;100;255
1725;100;255
1726;100;255
1727;100;253
1728;100;255
1729;100;255
1730;100;255
1731;100;255
1732;100;255
1733;100;255
1734;100;253
1735;100;255
1736;100;255
1737;100;255
1738;100;255
1739;100;253
1740;100;255
1741;100;255
1742;100;255
1743;100;255
1744;100;255
1745;100;255
1746;100;255
1747;100;255
1748;100;255
1749;100;255
1750;100;253
1751;100;255
1752;100;255
1753;100;255
1754;100;255
1755;100;255
1756;100;255
1757;100;255
1758;100;255
1759;100;255
1760;100;255
1761;100;255
1762;100;253
1763;100;255
1764;100;255
1765;100;255
1766;100;255
1767;100;255
1768;100;255
1769;100;255
1770;100;255
1771;100;255
1772;100;255
1773;100;255
1774;100;255
1775;100;255
1776;100;255
1777;100;255
1778;100;255
1779;100;255
1780;100;255
1781;100;255
1782;100;253
1783;100;255
1784;100;253
1785;100;255
1786;100;255
1787;100;255
1788;100;255
1789;100;255
1790;100;255
1791;100;255
1792;100;255
1793;100;255
1794;100;255
1795;100;255
1796;100;253
1797;100;255
1798;100;255
1799;100;255
1800;100;253
1801;100;255
1802;100;255
1803;100;255
1804;100;255
1805;100;253
1806;100;255
1807;100;255
1808;100;255
1809;100;255
1810;100;253
1811;100;255
1812;100;255
1813;100;255
1814;100;255
1815;100;255
1816;100;255
1817;100;255
1818;100;255
1819;100;255
1820;100;255
1821;100;255
1822;100;253
1823;100;255
1824;100;255
1825;100;255
1826;100;255
1827;100;255
1828;100;255
1829;100;255
1830;100;255
1831;100;255
1832;100;255
1833;100;255
1834;100;255
1835;100;255
